decision_timestamp,information_cutoff,source_timestamp_max,contract_id,product_id,quarter,tranche,tranche_no,interconnector_id,from_region,ruleset_id,units_offered,units_sold,fill_probability,fair_value_forecast,auction_clearing_price,final_realised_payout_per_unit,expected_alpha,confidence_band,forecast_error_to_clearing,forecast_error_to_realised,realised_alpha,source_lineage
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q2T09,C2019Q2:NSW1-QLD1:NSW1:T09,C2019Q2,T09,9,NSW1-QLD1,NSW1,RS-BASELINE-v1,45,45,1.0,1290.0,459.0,,831.0,medium,831.0,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q2T09,C2019Q2:NSW1-QLD1:QLD1:T09,C2019Q2,T09,9,NSW1-QLD1,QLD1,RS-BASELINE-v1,100,100,1.0,8832.0,10326.0,,-1494.0,negative,-1494.0,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q2T09,C2019Q2:V-SA:SA1:T09,C2019Q2,T09,9,V-SA,SA1,RS-BASELINE-v1,64,64,1.0,3474.07,5635.0,,-2160.93,negative,-2160.93,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q2T09,C2019Q2:V-SA:VIC1:T09,C2019Q2,T09,9,V-SA,VIC1,RS-BASELINE-v1,73,73,1.0,3201.0,3049.0,,152.0,low,152.0,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q2T09,C2019Q2:VIC1-NSW1:NSW1:T09,C2019Q2,T09,9,VIC1-NSW1,NSW1,RS-BASELINE-v1,108,108,1.0,2500.0,2311.0,,189.0,low,189.0,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q2T09,C2019Q2:VIC1-NSW1:VIC1:T09,C2019Q2,T09,9,VIC1-NSW1,VIC1,RS-BASELINE-v1,125,125,1.0,5125.0,3374.6,,1750.4,medium,1750.4,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q2T10,C2019Q2:NSW1-QLD1:NSW1:T10,C2019Q2,T10,10,NSW1-QLD1,NSW1,RS-BASELINE-v1,45,45,1.0,459.0,393.0,,66.0,low,66.0,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q2T10,C2019Q2:NSW1-QLD1:QLD1:T10,C2019Q2,T10,10,NSW1-QLD1,QLD1,RS-BASELINE-v1,100,100,1.0,10326.0,12500.0,,-2174.0,negative,-2174.0,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q2T10,C2019Q2:V-SA:SA1:T10,C2019Q2,T10,10,V-SA,SA1,RS-BASELINE-v1,64,64,1.0,5635.0,5030.55,,604.4499999999998,medium,604.4499999999998,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,2021-02-01T00:00:00+00:00,C2019Q2T10,C2019Q2:V-SA:VIC1:T10,C2019Q2,T10,10,V-SA,VIC1,RS-BASELINE-v1,73,73,1.0,3049.0,2439.0,,610.0,medium,610.0,,,"{""auction_source"": ""data/derived/sra/sra_auction_results.csv"", ""auction_table"": ""MMSDM.RESIDUE_PUBLIC_DATA"", ""payout_source"": ""data/derived/sra/sra_payout_history.csv"", ""ruleset_id"": ""RS-BASELINE-v1"", ""settlement_source"": ""SETIRSURPLUS (closed quarters)""}"
