decision_timestamp,quarter,interconnector_id,from_region,product_id,tranche_no,confidence_band,split,max_bid,auction_clearing_price,final_realised_payout_per_unit,bid_units,executed_units,lock_days,acquisition_cost,realised_payout,realised_pnl,expected_alpha,realised_alpha,free_capital_after,portfolio_value_after
2022-05-01T00:00:00+00:00,C2020Q3,VIC1-NSW1,VIC1,C2020Q3:VIC1-NSW1:VIC1:T10,10,medium,in_sample,5109.360000000001,3957.0,4144.0069,15,6,0,23765.742,24864.041400000002,1098.2994000000035,1152.3600000000006,187.00690000000031,608475.952342192,633260.9233832879
2022-05-01T00:00:00+00:00,C2020Q3,VIC1-NSW1,NSW1,C2020Q3:VIC1-NSW1:NSW1:T11,11,medium,in_sample,1975.0,1462.5,3936.2897,31,10,0,14639.625,39362.897,24723.271999999997,512.5,2473.7897,618700.3687421919,634359.2227832879
2022-05-01T00:00:00+00:00,C2020Q3,VIC1-NSW1,NSW1,C2020Q3:VIC1-NSW1:NSW1:T12,12,medium,in_sample,1962.5,1023.75,3936.2897,29,10,0,10247.7375,39362.897,29115.159499999998,938.75,2912.5397,647815.5282421919,659082.4947832878
2022-05-01T00:00:00+00:00,C2020Q3,VIC1-NSW1,VIC1,C2020Q3:VIC1-NSW1:VIC1:T12,12,low,in_sample,5109.360000000001,4901.0,4144.0069,14,5,0,24529.505,20720.0345,-3809.4704999999994,208.36000000000055,-756.9930999999997,662648.9202421919,688197.6542832878
2022-05-01T00:00:00+00:00,C2020Q4,NSW1-QLD1,NSW1,C2020Q4:NSW1-QLD1:NSW1:T08,8,low,in_sample,750.0,600.0,1725.8352,4,4,0,2402.4,6903.3408,4500.9408,150.0,1125.8352,680966.5547421918,684388.1837832876
2022-05-01T00:00:00+00:00,C2020Q4,NSW1-QLD1,NSW1,C2020Q4:NSW1-QLD1:NSW1:T09,9,low,in_sample,712.5,675.0,1725.8352,17,4,0,2702.7,6903.3408,4200.6408,37.5,1050.8352,685167.1955421919,688889.1245832877
2022-05-01T00:00:00+00:00,C2020Q4,V-SA,VIC1,C2020Q4:V-SA:VIC1:T08,8,low,in_sample,2000.0,1504.0,806.168,7,7,0,10538.528,5643.176,-4895.352,496.0,-697.832,681532.0083421918,693089.7653832877
2022-05-01T00:00:00+00:00,C2020Q4,V-SA,VIC1,C2020Q4:V-SA:VIC1:T09,9,medium,in_sample,1958.44,1278.4,806.168,16,7,0,8957.748800000001,5643.176,-3314.572800000001,680.04,-472.2320000000001,678217.4355421918,688194.4133832877
2022-05-01T00:00:00+00:00,C2020Q4,V-SA,VIC1,C2020Q4:V-SA:VIC1:T10,10,low,in_sample,1916.88,1760.0,806.168,13,7,0,12332.32,5643.176,-6689.143999999999,156.8800000000001,-953.832,671528.2915421919,684879.8405832878
2022-05-01T00:00:00+00:00,C2020Q4,V-SA,VIC1,C2020Q4:V-SA:VIC1:T11,11,low,in_sample,1838.44,1795.2,806.168,16,6,0,10781.9712,4837.008,-5944.9632,43.24000000000001,-989.032,666389.4963421918,678190.6965832877
