C,NEMP.WORLD,SRBID,AEMO,PUBLIC,2025/06/16,14:26:39,0000000467959188,,0000000467959188
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,12346.74,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,2,12339,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,8,12267.72,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,12232.61,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,12166.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,5,12165.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,12159.30,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,12120.88,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,12041.46,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,9,12041.4580,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,8,12003,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,10,12003,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,5,12000.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,11981.26,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,11948.45,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,11895.03,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,11737.60,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,11729.90,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,2,11718,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,11669.18,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,11526.74,,A202506
D,RESIDUE_PRICE_BID,,1,C2025Q4T11,NSW1-QLD1,NSW1,4,11479.88,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,11478.54,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,11444.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,11443.32,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,5,11391.46,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,12,11391.4580,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,5,11332.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,11315.88,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,11227.19,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,11217.46,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,2,11203,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,2,11139,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,11105.03,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,10991.61,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,10975.84,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q4T07,NSW1-QLD1,NSW1,4,10924.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,10894.18,,A202506
D,RESIDUE_PRICE_BID,,1,C2025Q4T11,NSW1-QLD1,NSW1,4,10847.96,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,10765.76,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q4T03,NSW1-QLD1,NSW1,2,10754,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,1,10724.48,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,5,10722.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,10683.32,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,10539.90,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,5,10499.20,,A202506
D,RESIDUE_PRICE_BID,,1,C2025Q4T11,NSW1-QLD1,NSW1,10,10488,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,10472.459990,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,5,10368,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,10314.04,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,10261.61,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q4T03,NSW1-QLD1,NSW1,6,10092.988790,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,1,10088.19,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,1,10050.76,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q2T09,NSW1-QLD1,NSW1,1,10008.333010,,A202506
D,RESIDUE_PRICE_BID,,1,C2025Q3T12,NSW1-QLD1,NSW1,1,10008.333010,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q3T08,NSW1-QLD1,NSW1,1,10008.333010,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q2T05,NSW1-QLD1,NSW1,1,10008.333010,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q3T04,NSW1-QLD1,NSW1,1,10008.333010,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,10,10003,,A202506
D,RESIDUE_PRICE_BID,,1,C2027Q1T06,NSW1-QLD1,NSW1,10,10003,,A202506
D,RESIDUE_PRICE_BID,,1,C2026Q1T10,NSW1-QLD1,NSW1,8,10003,,A202506
D,RESIDUE_PRICE_BID,,1,C2028Q1T02,NSW1-QLD1,NSW1,8,10003,,A202506
