C,NEMP.WORLD,SROFFER,AEMO,PUBLIC,2022/06/15,14:30:23,0000000365231434,,0000000365231434
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1896.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1915.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1934.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1953.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1972.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,1,1991.73
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,10,2642.7441
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,10,4042.7441
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,25,3000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,25,4000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,25,5000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,NSW1,112,0
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,19272.099990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,19272.20
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,60800.01
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,61600.01
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,62400.01
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,63200.01
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,64000.01
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,64800.01
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,65600.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,66400.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,67200.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,68000.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,68800.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,69600.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,70400.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,71200.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,72000.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,72800.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,73600.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,74400.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,75200.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,76000.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,76800.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,77600.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,78400.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,79200.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,1,80000.009990
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,10,41516
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,20,18984.071490
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,25,21984.0715
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,25,145000
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q3T12,VIC1-NSW1,VIC1,125,0
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,NSW1,5,23250
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,NSW1,5,25800
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,NSW1,5,28800
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,NSW1,5,31180
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,NSW1,5,31800
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,NSW1,5,34680
D,RESIDUE_PRICE_OFFER,,1,A202206,C2022Q4T11,NSW1-QLD1,NSW1,5,34800
