month,dataset,dataset_status,rows,files,min_interval,max_interval,blocker
2024-03,RENEWABLE_GENERATION,DERIVED_PARTIAL,8928,1.0,2024-02-29T14:05:00Z,2024-03-31T14:00:00Z,No DUID technology map in repo snapshot
2024-03,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2024-03,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2024-04,DISPATCHPRICE,MISSING,0,,,,
2024-04,DISPATCHREGIONSUM,MISSING,0,,,,
2024-04,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2024-04,DISPATCHCONSTRAINT,MISSING,0,,,,
2024-04,DISPATCH_UNIT_SCADA,AVAILABLE,8640,1.0,2024-03-31T14:05:00Z,2024-04-30T14:00:00Z,
2024-04,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2024-04,UNIT_COMMITMENT,DERIVED_PARTIAL,8640,1.0,2024-03-31T14:05:00Z,2024-04-30T14:00:00Z,Derived proxy from SCADA only (no unit technology register)
2024-04,RENEWABLE_GENERATION,DERIVED_PARTIAL,8640,1.0,2024-03-31T14:05:00Z,2024-04-30T14:00:00Z,No DUID technology map in repo snapshot
2024-04,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
2024-04,FCAS,BLOCKED_EXTERNAL,0,0.0,,,No FCAS dataset ingest in current snapshot
2024-05,DISPATCHPRICE,MISSING,0,,,,
2024-05,DISPATCHREGIONSUM,MISSING,0,,,,
2024-05,DISPATCHINTERCONNECTORRES,MISSING,0,,,,
2024-05,DISPATCHCONSTRAINT,MISSING,0,,,,
2024-05,DISPATCH_UNIT_SCADA,AVAILABLE,8928,1.0,2024-04-30T14:05:00Z,2024-05-31T14:00:00Z,
2024-05,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,0,0.0,,,External outage source not ingested yet
2024-05,UNIT_COMMITMENT,DERIVED_PARTIAL,8928,1.0,2024-04-30T14:05:00Z,2024-05-31T14:00:00Z,Derived proxy from SCADA only (no unit technology register)
2024-05,RENEWABLE_GENERATION,DERIVED_PARTIAL,8928,1.0,2024-04-30T14:05:00Z,2024-05-31T14:00:00Z,No DUID technology map in repo snapshot
2024-05,WEATHER,BLOCKED_EXTERNAL,0,0.0,,,No BOM weather ingest configured
