month,dataset,dataset_status,lineage_hash,source_lineage_complete
2021-06,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2021-06,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2021-06,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2021-06,WEATHER,BLOCKED_EXTERNAL,,True
2021-06,FCAS,BLOCKED_EXTERNAL,,True
2021-07,DISPATCHPRICE,MISSING,,False
2021-07,DISPATCHREGIONSUM,MISSING,,False
2021-07,DISPATCHINTERCONNECTORRES,MISSING,,False
2021-07,DISPATCHCONSTRAINT,AVAILABLE,9a02043846658fe49c99f074edbb3c1af68c2d8d845affdad8f8b0647bb7b072,True
2021-07,DISPATCH_UNIT_SCADA,MISSING,,False
2021-07,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2021-07,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2021-07,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2021-07,WEATHER,BLOCKED_EXTERNAL,,True
2021-07,FCAS,BLOCKED_EXTERNAL,,True
2021-08,DISPATCHPRICE,MISSING,,False
2021-08,DISPATCHREGIONSUM,MISSING,,False
2021-08,DISPATCHINTERCONNECTORRES,MISSING,,False
2021-08,DISPATCHCONSTRAINT,AVAILABLE,561fb2887f7442fa3b3543bc0fc6f38794691209b04ffbbdbe8ad61d47a83f6d,True
2021-08,DISPATCH_UNIT_SCADA,MISSING,,False
2021-08,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2021-08,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2021-08,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2021-08,WEATHER,BLOCKED_EXTERNAL,,True
2021-08,FCAS,BLOCKED_EXTERNAL,,True
2021-09,DISPATCHPRICE,MISSING,,False
2021-09,DISPATCHREGIONSUM,MISSING,,False
2021-09,DISPATCHINTERCONNECTORRES,MISSING,,False
2021-09,DISPATCHCONSTRAINT,AVAILABLE,c9a9c6fa0910ba228e9e5a52893299c1485bce9723ae177652df6cb493df8e65,True
2021-09,DISPATCH_UNIT_SCADA,MISSING,,False
2021-09,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2021-09,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2021-09,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2021-09,WEATHER,BLOCKED_EXTERNAL,,True
2021-09,FCAS,BLOCKED_EXTERNAL,,True
2021-10,DISPATCHPRICE,MISSING,,False
2021-10,DISPATCHREGIONSUM,MISSING,,False
2021-10,DISPATCHINTERCONNECTORRES,MISSING,,False
2021-10,DISPATCHCONSTRAINT,AVAILABLE,6946ccf1f87b9f4081a4dd6cb6ec57abb7f80344f339a715c6e3066b0596d05c,True
2021-10,DISPATCH_UNIT_SCADA,MISSING,,False
2021-10,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2021-10,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2021-10,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2021-10,WEATHER,BLOCKED_EXTERNAL,,True
2021-10,FCAS,BLOCKED_EXTERNAL,,True
2021-11,DISPATCHPRICE,MISSING,,False
2021-11,DISPATCHREGIONSUM,MISSING,,False
2021-11,DISPATCHINTERCONNECTORRES,MISSING,,False
2021-11,DISPATCHCONSTRAINT,AVAILABLE,21977d90fa6f09bd7af9143de196584379407f113b10d2051264179696dc8751,True
2021-11,DISPATCH_UNIT_SCADA,MISSING,,False
2021-11,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2021-11,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2021-11,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2021-11,WEATHER,BLOCKED_EXTERNAL,,True
2021-11,FCAS,BLOCKED_EXTERNAL,,True
2021-12,DISPATCHPRICE,MISSING,,False
2021-12,DISPATCHREGIONSUM,MISSING,,False
2021-12,DISPATCHINTERCONNECTORRES,MISSING,,False
2021-12,DISPATCHCONSTRAINT,AVAILABLE,98ebf60544bc943faa3ba67f61701adee55840f2bd811ce5c8cbc63b90afb565,True
2021-12,DISPATCH_UNIT_SCADA,MISSING,,False
2021-12,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2021-12,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2021-12,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2021-12,WEATHER,BLOCKED_EXTERNAL,,True
2021-12,FCAS,BLOCKED_EXTERNAL,,True
2022-01,DISPATCHPRICE,MISSING,,False
2022-01,DISPATCHREGIONSUM,MISSING,,False
2022-01,DISPATCHINTERCONNECTORRES,MISSING,,False
2022-01,DISPATCHCONSTRAINT,INVALID,,False
2022-01,DISPATCH_UNIT_SCADA,MISSING,,False
2022-01,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2022-01,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2022-01,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2022-01,WEATHER,BLOCKED_EXTERNAL,,True
2022-01,FCAS,BLOCKED_EXTERNAL,,True
2022-02,DISPATCHPRICE,MISSING,,False
2022-02,DISPATCHREGIONSUM,MISSING,,False
2022-02,DISPATCHINTERCONNECTORRES,MISSING,,False
2022-02,DISPATCHCONSTRAINT,MISSING,,False
2022-02,DISPATCH_UNIT_SCADA,MISSING,,False
2022-02,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2022-02,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2022-02,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2022-02,WEATHER,BLOCKED_EXTERNAL,,True
2022-02,FCAS,BLOCKED_EXTERNAL,,True
2022-03,DISPATCHPRICE,MISSING,,False
2022-03,DISPATCHREGIONSUM,MISSING,,False
2022-03,DISPATCHINTERCONNECTORRES,MISSING,,False
2022-03,DISPATCHCONSTRAINT,MISSING,,False
2022-03,DISPATCH_UNIT_SCADA,MISSING,,False
2022-03,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2022-03,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2022-03,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2022-03,WEATHER,BLOCKED_EXTERNAL,,True
2022-03,FCAS,BLOCKED_EXTERNAL,,True
2022-04,DISPATCHPRICE,MISSING,,False
2022-04,DISPATCHREGIONSUM,MISSING,,False
2022-04,DISPATCHINTERCONNECTORRES,MISSING,,False
2022-04,DISPATCHCONSTRAINT,MISSING,,False
2022-04,DISPATCH_UNIT_SCADA,MISSING,,False
2022-04,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2022-04,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2022-04,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2022-04,WEATHER,BLOCKED_EXTERNAL,,True
2022-04,FCAS,BLOCKED_EXTERNAL,,True
2022-05,DISPATCHPRICE,MISSING,,False
2022-05,DISPATCHREGIONSUM,MISSING,,False
2022-05,DISPATCHINTERCONNECTORRES,MISSING,,False
2022-05,DISPATCHCONSTRAINT,MISSING,,False
2022-05,DISPATCH_UNIT_SCADA,MISSING,,False
2022-05,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2022-05,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2022-05,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2022-05,WEATHER,BLOCKED_EXTERNAL,,True
2022-05,FCAS,BLOCKED_EXTERNAL,,True
2022-06,DISPATCHPRICE,MISSING,,False
2022-06,DISPATCHREGIONSUM,MISSING,,False
2022-06,DISPATCHINTERCONNECTORRES,MISSING,,False
2022-06,DISPATCHCONSTRAINT,MISSING,,False
2022-06,DISPATCH_UNIT_SCADA,MISSING,,False
2022-06,GENERATOR_OUTAGES,BLOCKED_EXTERNAL,,True
2022-06,UNIT_COMMITMENT,DERIVED_PARTIAL,,False
2022-06,RENEWABLE_GENERATION,DERIVED_PARTIAL,,False
2022-06,WEATHER,BLOCKED_EXTERNAL,,True
2022-06,FCAS,BLOCKED_EXTERNAL,,True
2022-07,DISPATCHPRICE,MISSING,,False
2022-07,DISPATCHREGIONSUM,MISSING,,False
2022-07,DISPATCHINTERCONNECTORRES,MISSING,,False
