asset_code,asset_name,network,state,latitude,longitude,capacity_mva,peak_demand_mva,available_mva,annual_deferral_aud,aug_cost_aud,proposed_timing,asset_category,data_year,data_source_file,built_at
ER_20006664,HOME HILL (66/11KV),Ergon Energy,QLD,-19.6729,147.4131,,,-2920000.0,170000.0,0.0,2027,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_20008188,JARVISFIELD (66/11KV),Ergon Energy,QLD,-19.6023,147.4291,,,-2810000.0,170000.0,0.0,2026,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_20010443,MILLAROO (66/11KV),Ergon Energy,QLD,-20.1125,147.271,,,-580000.0,30000.0,0.0,2028,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_20010917-1,MILLCHESTER (66/11KV),Ergon Energy,QLD,-20.1034,146.2808,,,-2520000.0,150000.0,0.0,2026,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_10030281,MT GARNET (66/22KV),Ergon Energy,QLD,-17.6844,145.1287,,,-6570000.0,390000.0,0.0,2027,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_60007240,MT SIBLEY (33/11KV),Ergon Energy,QLD,-27.8076,151.9488,,,-6850000.0,410000.0,0.0,2027,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_50000121,MURGON (66/11KV),Ergon Energy,QLD,-26.2501,151.9371,,,-13180000.0,780000.0,0.0,2028,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_20011181,NEIL SMITH (66/11KV),Ergon Energy,QLD,-19.2613,146.8135,,,-14420000.0,850000.0,0.0,2027,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_50000147,OWANYILLA (66/11KV),Ergon Energy,QLD,-25.6457,152.627,,,-3800000.0,220000.0,0.0,2027,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_60007229,PAMPAS (33/11KV),Ergon Energy,QLD,-27.7519,151.3508,,,-10390000.0,610000.0,0.0,2028,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_40017986,PANDOIN (66/22KV),Ergon Energy,QLD,-23.2651,150.4716,,,-4430000.0,260000.0,0.0,2027,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_30064322,ROSELLA (33/11KV),Ergon Energy,QLD,-21.2369,149.1477,,,-5020000.0,300000.0,0.0,2027,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_83886418,SKID D (LANDING ROAD) (66/11KV),Ergon Energy,QLD,-23.8144,151.1498,,,-3460000.0,210000.0,3460000.0,2027,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_60025701,STANTHORPE BSP (110/33KV),Ergon Energy,QLD,-28.6443,151.9178,,,-4680000.0,280000.0,0.0,2027,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_81642833,WOODGATE (66/11KV),Ergon Energy,QLD,-25.1001,152.5493,,,-2950000.0,170000.0,0.0,2026,Winter,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_60007226,YARRANLEA SOUTH (33/11KV),Ergon Energy,QLD,-27.7534,151.5425,,,-4680000.0,280000.0,0.0,2028,Summer,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ER_DURO-CHUM,CHUM-CLON,Ergon Energy,QLD,-20.712336,140.403695,,,-9510000.0,560000.0,9510000.0,2027,Winter,2025,Dec 2023 DAPR (annual data); Dec 2022 DAPR (load trace data),2026-05-08T14:08:45.864833
ES_1380,SFP SUFFOLK PARK,Essential Energy,NSW,-28.67269,153.59378,,,-2000000.0,170000.0,2000000.0,2027,Winter,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
ES_548,MRE MOREE,Essential Energy,NSW,-29.48358,149.85192,,,-1000000.0,80000.0,1000000.0,2026,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
ES_774,BBN BOMEN,Essential Energy,NSW,-35.0742,147.40744,,,-2900000.0,240000.0,2900000.0,2026,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
ES_ORS3B8,ORS3B8 EDWARD ST,Essential Energy,NSW,-33.29626,149.102666,,,-250000.0,20000.0,250000.0,2025,Winter,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
ES_ORS3B2,ORS3B2 JEAGER AVE,Essential Energy,NSW,-33.303725,149.09782,,,-200000.0,20000.0,200000.0,2024,Winter,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
ES_BNY3B4,BNY3B4 MILLTHORPE,Essential Energy,NSW,-33.44587,149.102234,,,-280000.0,20000.0,0.0,2024,Winter,2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
ES_BTH3B3,BTH3B3 BRILLIANT ST,Essential Energy,NSW,-33.441912,149.568942,,,-250000.0,20000.0,250000.0,2025,"Summer, Winter",2025,Dec 2023 DAPR,2026-05-08T14:08:45.864833
